name,category,use_case,description,url,free,input,output,how_to_use
FastQC,NGS Analysis,Quality control for sequencing reads,Standard quality control tool for next-generation sequencing data. Run before any NGS analysis pipeline.,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,Yes,FASTQ sequencing files,QC report (HTML),"Run FastQC on your raw FASTQ files before any other analysis. The HTML report shows per-base quality scores adapter content and GC distribution. Flag files with per-base quality below 28 — these need trimming with Trimmomatic before assembly. Check the adapter content plot to confirm your sequencing library was correctly prepared."
SPAdes,NGS Analysis,Genome and plasmid assembly,Best-in-class de novo assembler for bacterial genomes and plasmids. Specifically includes a plasmid assembly mode.,https://github.com/ablab/spades,Yes,FASTQ reads,Assembled contigs / scaffolds,"Install SPAdes via conda (conda install -c bioconda spades). For plasmid sequencing use the --plasmid flag: spades.py --plasmid -1 R1.fastq -2 R2.fastq -o output. The assembled contigs.fasta contains your plasmid sequence. Align back to your expected construct in Geneious to verify complete assembly and check for unexpected insertions."
COBRApy,Metabolic Modeling,Constraint-based metabolic modeling in Python,Python library for flux balance analysis of metabolic networks. Used for metabolic engineering predictions in iGEM projects.,https://opencobra.github.io/cobrapy/,Yes,SBML metabolic model,Flux predictions / knockout analysis,"Install via pip: pip install cobra. Load a genome-scale model for your organism (BiGG database has E. coli iJO1366 and yeast models). Use model.optimize() to calculate growth rate. Knock out genes with model.genes.get_by_id('b0001').knock_out() to simulate deletions. Use flux variability analysis to identify reactions essential for your target metabolite production."
ProteinMPNN,Protein Design,AI-based protein sequence design,Deep learning tool for designing protein sequences that fold into a target structure. State-of-the-art for computational protein design.,https://github.com/dauparas/ProteinMPNN,Yes,Protein structure (PDB),Designed amino acid sequences,"Run ProteinMPNN through the ColabDesign notebook on Google Colab — no local installation needed. Input your target backbone structure and specify which residues to design versus fix. Generate 100+ sequences and filter by predicted confidence. Use AlphaFold2 to validate that top candidates fold back to your target structure before synthesis."
RFdiffusion,Protein Design,AI-based protein backbone design,Diffusion model for de novo protein backbone generation. Enables design of novel protein structures not found in nature.,https://github.com/RosettaCommons/RFdiffusion,Yes,Design specification,Novel protein backbone (PDB),"Access via the RFdiffusion ColabFold notebook. Specify your design goals (binding protein binder scaffold). Run the diffusion model to generate diverse backbone structures. Pass outputs through ProteinMPNN to design sequences then validate with AlphaFold2. This pipeline enables iGEM teams to design novel binders without template structures."
DiffDock,Protein-Ligand,Protein-ligand docking prediction,State-of-the-art diffusion-based docking tool. Predicts binding pose of small molecules to proteins.,https://github.com/gcorso/DiffDock,Yes,Protein structure + ligand SMILES,Binding pose predictions,"Run DiffDock through the Google Colab notebook. Input your protein PDB and ligand SMILES string. DiffDock generates multiple binding pose predictions with confidence scores. Use the top-ranked pose to guide mutagenesis of binding residues. Compare predicted binding affinity with experimental measurements to validate your biosensor design."
Zotero,Literature,Reference management and citation,Free open-source reference manager. Essential for organizing literature and generating citations for iGEM wikis and papers.,https://zotero.org,Yes,DOI / URL / PDF,Organized references / citations,"Install Zotero desktop and the browser extension. Click the extension button on any paper page to save it automatically with all metadata. Organize papers into collections by topic. Use the Cite feature to export references in any format. For iGEM wikis export as Chicago author-date format. Share your library with teammates using Zotero Groups."
Jupyter Notebook,Data Analysis,Interactive Python environment for data analysis,Browser-based interactive coding environment. Standard platform for reproducible data analysis and visualization in iGEM.,https://jupyter.org,Yes,Python code + data,Interactive analysis / plots,"Install via pip: pip install jupyter then run jupyter notebook in your project folder. Create notebooks for each analysis (growth curves fluorescence data modeling). Use matplotlib and seaborn for publication-quality plots. Save notebooks in your GitHub repo so judges can see your exact analysis. nbviewer.jupyter.org renders notebooks directly from GitHub."
Biopython,Sequence Analysis,Python library for bioinformatics,Comprehensive Python library for biological sequence analysis. Enables programmatic access to NCBI databases sequence parsing and alignment.,https://biopython.org,Yes,DNA/protein sequences,Parsed sequences / analysis results,"Install via pip: pip install biopython. Use SeqIO to parse FASTA/GenBank files. Access NCBI databases programmatically with Entrez — fetch sequences download literature. Use the Blast module to run BLAST searches from Python scripts. Biopython integrates well with pandas and matplotlib for building reproducible analysis pipelines."
SBOLCanvas,Standards,SBOL-compliant genetic circuit diagram editor,Browser-based tool for drawing genetic circuit diagrams using SBOL Visual notation. Creates publication-ready figures.,https://sbolcanvas.org,Yes,Manual circuit design,SBOL diagram / PNG/SVG,"Open SBOLCanvas in your browser — no installation needed. Drag and drop genetic parts (promoters RBS CDS terminators) from the parts palette. Connect parts to build your circuit diagram. Export as SVG for scalable wiki figures or PNG for presentations. Use SBOL Visual glyphs so your diagrams follow the community standard."
Jalview,Sequence Analysis,Multiple sequence alignment visualization,Desktop application for viewing and analyzing multiple sequence alignments. Color-coding and conservation analysis built in.,https://jalview.org,Yes,Multiple sequence alignment,Annotated alignment / conservation plot,"Download Jalview and open your Clustal or MUSCLE alignment file. Apply the ClustalX color scheme to highlight conserved residues by chemical property. Use the Conservation row to quantify conservation at each position. Export high-quality alignment figures for your wiki. Jalview's overview panel helps identify conserved domains across large alignments."
PyRosetta,Protein Design,Python interface to Rosetta protein design suite,Python-based access to Rosetta algorithms for protein structure prediction design and analysis.,https://www.pyrosetta.org,Free for academic,Protein structure / sequence,Designed proteins / energy scores,"Apply for a free academic license and install via conda. Use the Pose object to load PDB structures. Apply the FastRelax protocol to minimize energy after mutations. Calculate binding energy changes with InterfaceAnalyzer. PyRosetta tutorials on GitHub cover common iGEM use cases like stability engineering and binding site design."
MEMOTE,Metabolic Modeling,Metabolic model quality assessment,Standardized testing suite for genome-scale metabolic models. Ensures your model follows community standards before publication.,https://memote.io,Yes,SBML metabolic model,Quality report (score 0-100),"Install via pip: pip install memote. Run memote report snapshot model.xml to generate an HTML quality report. The score reflects how well your model passes community tests for consistency completeness and annotation. Fix flagged issues before publishing your model. MEMOTE reports are increasingly required by journals for metabolic modeling papers."
KBase,Metabolic Modeling,Collaborative systems biology platform,Free cloud platform for genome analysis metabolic modeling and comparative genomics. No local installation needed.,https://kbase.us,Yes,Genome sequence / FASTQ,Metabolic models / annotations,"Create a free account at kbase.us. Upload your genome sequence and use the RAST annotation app to annotate genes automatically. Build a metabolic model with the ModelSEED app — it drafts a genome-scale model from your annotation. Run flux balance analysis directly in the browser. Share your narrative (analysis workflow) with collaborators."
CLC Genomics Workbench,NGS Analysis,NGS data analysis platform,Commercial platform for NGS data analysis. Used by iGEM teams with institutional access for sequencing verification and genome assembly.,https://digitalinsights.qiagen.com,Paid,NGS reads,Assembled genome / variants,"Open your FASTQ files and run the QC tools to check read quality. Use the Map Reads to Reference tool to align reads to your expected plasmid sequence — check coverage uniformly across the construct. The Variant Detection tool identifies mutations from the reference. Export alignment statistics for your wiki documentation."
Trimmomatic,NGS Analysis,Quality trimming of sequencing reads,Standard tool for removing adapter sequences and low-quality reads before NGS assembly or alignment.,https://github.com/usadellab/Trimmomatic,Yes,FASTQ reads,Trimmed FASTQ reads,"Run Trimmomatic after FastQC shows adapter contamination or low-quality tails. Command: trimmomatic PE R1.fastq R2.fastq output parameters. Set LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36 as starting parameters. Re-run FastQC on trimmed reads to verify improvement. Always trim before assembly or alignment."
Antimony,Modeling,Text-based model description language,Simple text format for writing SBML models. Used with Tellurium for concise model specification.,https://antimony.sourceforge.net,Yes,Text model description,SBML model,"Write models in plain text: S1 -> S2; k1*S1. Load in Tellurium with te.loadAntimonyModel(). Antimony is much more readable than raw SBML XML — useful for sharing models in papers and on your wiki. The Tellurium documentation includes Antimony examples for common genetic circuit motifs."
colabfold,Protein Structure,Fast AlphaFold2 predictions via Google Colab,Free GPU-accelerated protein structure prediction running AlphaFold2 in Google Colab. Faster than official AlphaFold servers.,https://colab.research.google.com/github/sokrypton/ColabFold/blob/main/AlphaFold2.ipynb,Yes,Protein sequence,3D structure + confidence scores,"Open the ColabFold notebook in Google Colab (link above). Paste your sequence into the sequence field. Run all cells — GPU prediction takes 5-15 minutes per sequence. Download the best-ranked model PDB file. Check the pLDDT plot — blue regions (>90) are high confidence. ColabFold is the fastest free way to get AlphaFold2 predictions."
IQ-TREE,Sequence Analysis,Maximum likelihood phylogenetic tree building,Fast and accurate tool for building phylogenetic trees from multiple sequence alignments.,https://www.iqtree.org,Yes,Multiple sequence alignment,Phylogenetic tree,"Run IQ-TREE on your MUSCLE or Clustal alignment: iqtree -s alignment.fasta -m TEST. The -m TEST flag automatically selects the best substitution model. Output includes a .treefile you can visualize in FigTree or iTOL. Use bootstrap values (--bb 1000) to assess branch support. Phylogenetic trees show the evolutionary relationships of your target gene homologs."
FigTree,Sequence Analysis,Phylogenetic tree visualization,Free desktop application for viewing and annotating phylogenetic trees from IQ-TREE or other tools.,https://github.com/rambaut/figtree,Yes,Newick tree file,Annotated tree visualization,"Open your .treefile from IQ-TREE in FigTree. Color branches by clade to highlight different organism groups. Show bootstrap support values on branches. Export as SVG or PDF for your wiki. FigTree's node annotation feature lets you add metadata (organism name isolation source) to each tip for more informative figures."
Galaxy,NGS Analysis,Web-based bioinformatics analysis platform,Free cloud platform for running bioinformatics tools without command line. Covers QC assembly annotation and more.,https://usegalaxy.org,Yes,FASTQ sequences / genomes,Analysis results / reports,"Create a free account at usegalaxy.org. Upload your FASTQ files and build an analysis workflow by chaining tools (FastQC → Trimmomatic → SPAdes). Save workflows and share with teammates. Galaxy keeps a history of every analysis step so your work is automatically reproducible. Ideal for iGEM teams without bioinformatics experience."
Quartzy,Lab Management,Lab inventory and order management,Free platform for managing lab inventory reagent orders and equipment booking. Used by iGEM teams to track consumables.,https://quartzy.com,Yes,Manual inventory entry,Organized lab inventory / orders,"Create a free lab account and add your team members. Log all reagents with lot numbers and storage locations when they arrive. Use the Order Request feature to track purchases and approvals. Set low-stock alerts for critical reagents so you don't run out mid-experiment. Quartzy integrates with supplier catalogs for quick reordering."
